Designator,Mid X,Mid Y,Rotation,Layer
LED81,251.7,-118.7,0.0,bottom
LED82,351.7,-137.6,0.0,bottom
LED83,332.7,-137.7,0.0,bottom
LED84,301.375,-137.65,0.0,bottom
LED85,278.225,-137.65,0.0,bottom
LED86,329.799375,-41.671875,0.0,bottom
LED87,329.803125,-36.909375,0.0,bottom
LED88,329.819375,-32.146875,0.0,bottom
LED89,336.65,-105.475,270.0,bottom
LED9,304.1,-32.9,0.0,bottom
LED90,343.05,-105.475,270.0,bottom
LED91,349.45,-105.475,270.0,bottom
LED92,355.85,-105.475,270.0,bottom
LED93,362.25,-105.425,270.0,bottom
LED94,368.6,-105.4,270.0,bottom
Q1,304.1,-49.7,180.0,top
Q2,304.1,-53.5,0.0,top
R1,364.33125,-32.0,90.0,bottom
R2,382.1,-32.1,270.0,bottom
R3,310.753125,-27.384375,90.0,bottom
R4,307.7,-27.384375,270.0,bottom
R5,308.3,-52.2,90.0,top
R6,298.5,-53.4,270.0,top
SW1,373.9625,-38.1,180.0,top
SW2,368.4,-27.4,180.0,bottom
SW3,376.8,-27.4,180.0,bottom
U1,350.04375,-41.5375,0.0,bottom
U2,319.0875,-28.485625,180.0,top
U3,319.56875,-42.8625,270.0,bottom
USB1,56.28,-33.9375,180.0,bottom
USB2,380.384375,-105.995625,270.0,bottom
